Player,Overs,Mdns,Runs conceded,Wickets taken,Econ,Team,Innings in match,Opposition,Ground,Match Date,Scorecard
SM Curran,3.4,,10.0,5.0,2.72,England,1.0,v Afghanistan,Perth,2022-10-22,T20I # 1840
A Nortje,3.3,,10.0,4.0,2.85,South Africa,2.0,v Bangladesh,Sydney,2022-10-27,T20I # 1847
TA Boult,4.0,,13.0,4.0,3.25,New Zealand,2.0,v Sri Lanka,Sydney,2022-10-29,T20I # 1850
AS Joseph,4.0,,16.0,4.0,4.0,West Indies,2.0,v Zimbabwe,Hobart,2022-10-19,T20I # 1834
Shaheen Shah Afridi,4.0,,22.0,4.0,5.5,Pakistan,1.0,v Bangladesh,Adelaide,2022-11-06,T20I # 1872
Mohammad Wasim,4.0,,24.0,4.0,6.0,Pakistan,1.0,v Zimbabwe,Perth,2022-10-27,T20I # 1849
Taskin Ahmed,4.0,,25.0,4.0,6.25,Bangladesh,2.0,v Netherlands,Hobart,2022-10-24,T20I # 1843
L Ngidi,4.0,,29.0,4.0,7.25,South Africa,1.0,v India,Perth,2022-10-30,T20I # 1853
A Nortje,4.0,,41.0,4.0,10.25,South Africa,1.0,v Pakistan,Sydney,2022-11-03,T20I # 1861
TG Southee,2.1,,6.0,3.0,2.76,New Zealand,2.0,v Australia,Sydney,2022-10-22,T20I # 1839
PW Hasaranga,4.0,1.0,8.0,3.0,2.0,Sri Lanka,2.0,v U.A.E.,Geelong,2022-10-18,T20I # 1832
BD Glover,2.0,,9.0,3.0,4.5,Netherlands,2.0,v South Africa,Adelaide,2022-11-06,T20I # 1871
MRJ Watt,4.0,,12.0,3.0,3.0,Scotland,2.0,v West Indies,Hobart,2022-10-17,T20I # 1826
JO Holder,3.2,,12.0,3.0,3.6,West Indies,2.0,v Zimbabwe,Hobart,2022-10-19,T20I # 1834
SM Curran,4.0,,12.0,3.0,3.0,England,1.0,v Pakistan,Melbourne,2022-11-13,T20I # 1879
PW Hasaranga,4.0,,13.0,3.0,3.25,Sri Lanka,1.0,v Afghanistan,Brisbane,2022-11-01,T20I # 1856
Shaheen Shah Afridi,3.0,,14.0,3.0,4.66,Pakistan,2.0,v South Africa,Sydney,2022-11-03,T20I # 1861
PVD Chameera,3.5,,15.0,3.0,3.91,Sri Lanka,2.0,v U.A.E.,Geelong,2022-10-18,T20I # 1832
WD Parnell,4.0,1.0,15.0,3.0,3.75,South Africa,1.0,v India,Perth,2022-10-30,T20I # 1853
GJ Delany,4.0,,16.0,3.0,4.0,Ireland,1.0,v West Indies,Hobart,2022-10-21,T20I # 1837
LS Livingstone,3.0,,17.0,3.0,5.66,England,1.0,v Ireland,Melbourne,2022-10-26,T20I # 1846
BFW de Leede,3.0,,19.0,3.0,6.33,Netherlands,1.0,v U.A.E.,Geelong,2022-10-16,T20I # 1825
