Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,6.0,6.0,3.0,296.0,82.0,98.66,217.0,136.4,0.0,4.0,0.0,25.0,8.0
MP O'Dowd,8.0,8.0,1.0,242.0,71.0,34.57,215.0,112.55,0.0,2.0,0.0,22.0,8.0
SA Yadav,6.0,6.0,2.0,239.0,68.0,59.75,126.0,189.68,0.0,3.0,0.0,26.0,9.0
JC Buttler,6.0,6.0,1.0,225.0,80.0,45.0,156.0,144.23,0.0,2.0,1.0,24.0,7.0
BKG Mendis,8.0,8.0,1.0,223.0,79.0,31.85,156.0,142.94,0.0,2.0,0.0,17.0,10.0
Sikandar Raza,8.0,8.0,0.0,219.0,82.0,27.37,148.0,147.97,0.0,1.0,2.0,16.0,11.0
P Nissanka,7.0,7.0,0.0,214.0,74.0,30.57,196.0,109.18,0.0,2.0,1.0,13.0,8.0
AD Hales,6.0,6.0,1.0,212.0,86.0,42.4,144.0,147.22,0.0,2.0,0.0,19.0,10.0
LJ Tucker,7.0,7.0,2.0,204.0,71.0,40.8,163.0,125.15,0.0,1.0,0.0,19.0,4.0
GD Phillips,5.0,5.0,0.0,201.0,104.0,40.2,127.0,158.26,1.0,1.0,0.0,19.0,8.0
Najmul Hossain Shanto,5.0,5.0,0.0,180.0,71.0,36.0,157.0,114.64,0.0,2.0,0.0,20.0,2.0
KS Williamson,5.0,5.0,0.0,178.0,61.0,35.6,153.0,116.33,0.0,1.0,0.0,11.0,5.0
DM de Silva,8.0,8.0,1.0,177.0,66.0,25.28,137.0,129.19,0.0,1.0,2.0,15.0,4.0
Shan Masood,7.0,7.0,3.0,175.0,52.0,43.75,148.0,118.24,0.0,1.0,0.0,12.0,1.0
Mohammad Rizwan,7.0,7.0,0.0,175.0,57.0,25.0,160.0,109.37,0.0,1.0,0.0,15.0,3.0
PR Stirling,7.0,7.0,1.0,170.0,66.0,28.33,127.0,133.85,0.0,1.0,1.0,16.0,6.0
CN Ackermann,8.0,8.0,1.0,165.0,62.0,23.57,149.0,110.73,0.0,1.0,2.0,13.0,4.0
SC Williams,8.0,8.0,0.0,155.0,64.0,19.37,137.0,113.13,0.0,1.0,0.0,14.0,2.0
A Balbirnie,7.0,7.0,0.0,153.0,62.0,21.85,123.0,124.39,0.0,1.0,0.0,10.0,9.0
DP Conway,5.0,5.0,1.0,145.0,92.0,36.25,124.0,116.93,0.0,1.0,0.0,12.0,2.0
RR Rossouw,5.0,4.0,0.0,141.0,109.0,35.25,83.0,169.87,1.0,0.0,1.0,9.0,9.0
KIC Asalanka,7.0,7.0,2.0,131.0,38.0,26.2,113.0,115.92,0.0,0.0,1.0,9.0,2.0
HH Pandya,6.0,5.0,0.0,128.0,63.0,25.6,97.0,131.95,0.0,1.0,0.0,7.0,7.0
KL Rahul,6.0,6.0,0.0,128.0,51.0,21.33,106.0,120.75,0.0,2.0,0.0,8.0,8.0
Litton Das,5.0,5.0,0.0,127.0,60.0,25.4,89.0,142.69,0.0,1.0,0.0,11.0,5.0
C Campher,7.0,6.0,1.0,126.0,72.0,25.2,77.0,163.63,0.0,1.0,1.0,12.0,2.0
MP Stoinis,4.0,4.0,1.0,126.0,59.0,42.0,78.0,161.53,0.0,1.0,0.0,7.0,9.0
PBB Rajapaksa,8.0,7.0,0.0,125.0,34.0,17.85,105.0,119.04,0.0,0.0,0.0,14.0,2.0
Q de Kock,5.0,5.0,1.0,124.0,63.0,31.0,77.0,161.03,0.0,1.0,1.0,16.0,5.0
Babar Azam,7.0,7.0,0.0,124.0,53.0,17.71,133.0,93.23,0.0,1.0,1.0,13.0,0.0
HG Munsey,3.0,3.0,1.0,121.0,66.0,60.5,106.0,114.15,0.0,2.0,0.0,16.0,0.0
GJ Maxwell,4.0,4.0,1.0,118.0,54.0,39.33,73.0,161.64,0.0,1.0,0.0,11.0,6.0
RG Sharma,6.0,6.0,0.0,116.0,53.0,19.33,109.0,106.42,0.0,1.0,0.0,11.0,4.0
Iftikhar Ahmed,7.0,7.0,2.0,114.0,51.0,22.8,93.0,122.58,0.0,2.0,1.0,6.0,6.0
CR Ervine,7.0,7.0,0.0,112.0,58.0,16.0,125.0,89.6,0.0,1.0,0.0,13.0,0.0
MA Jones,3.0,3.0,0.0,110.0,86.0,36.66,77.0,142.85,0.0,1.0,0.0,10.0,4.0
BA Stokes,6.0,5.0,2.0,110.0,52.0,36.66,104.0,105.76,0.0,1.0,0.0,7.0,1.0
DJ Mitchell,4.0,4.0,2.0,109.0,53.0,54.5,85.0,128.23,0.0,1.0,0.0,5.0,1.0
AJ Finch,3.0,3.0,1.0,107.0,63.0,53.5,97.0,110.3,0.0,1.0,0.0,6.0,5.0
TLW Cooper,8.0,8.0,0.0,107.0,35.0,13.37,103.0,103.88,0.0,0.0,1.0,7.0,3.0
MR Marsh,4.0,4.0,0.0,106.0,45.0,26.5,81.0,130.86,0.0,0.0,0.0,8.0,6.0
W Madhevere,8.0,8.0,1.0,106.0,35.0,15.14,83.0,127.71,0.0,0.0,2.0,15.0,2.0
JN Frylinck,3.0,3.0,0.0,101.0,44.0,33.66,93.0,108.6,0.0,0.0,0.0,6.0,1.0
RP Burl,8.0,7.0,3.0,101.0,35.0,25.25,97.0,104.12,0.0,0.0,0.0,11.0,2.0
GH Dockrell,7.0,6.0,1.0,100.0,39.0,20.0,83.0,120.48,0.0,0.0,2.0,10.0,1.0
