Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,BBI_Wkts,BBI_Runs
PW Hasaranga (SL),2022-2022,8.0,8.0,186.0,31.0,1,199.0,15.0,13.26,6.41,12.4,,,8.0,
SM Curran (ENG),2022-2022,6.0,6.0,136.0,22.4,,148.0,13.0,11.38,6.52,10.46,,1.0,10.0,
BFW de Leede (NED),2022-2022,8.0,7.0,132.0,22.0,,169.0,13.0,13.0,7.68,10.15,,,19.0,
B Muzarabani (ZIM),2022-2022,8.0,7.0,156.0,26.0,,199.0,12.0,16.58,7.65,13.0,,,23.0,
A Nortje (SA),2022-2022,5.0,5.0,105.0,17.3,,94.0,11.0,8.54,5.37,9.54,2.0,,10.0,
Shaheen Shah Afridi (PAK),2022-2022,7.0,7.0,151.0,25.1,,155.0,11.0,14.09,6.15,13.72,1.0,,22.0,
Shadab Khan (PAK),2022-2022,7.0,7.0,156.0,26.0,,165.0,11.0,15.0,6.34,14.18,,,22.0,
PA van Meekeren (NED),2022-2022,8.0,8.0,186.0,31.0,,198.0,11.0,18.0,6.38,16.9,,,29.0,
JB Little (IRE),2022-2022,7.0,7.0,162.0,27.0,,189.0,11.0,17.18,7.0,14.72,,,22.0,
Sikandar Raza (ZIM),2022-2022,8.0,8.0,144.0,24.0,,156.0,10.0,15.6,6.5,14.4,,,19.0,
Arshdeep Singh (IND),2022-2022,6.0,6.0,120.0,20.0,,156.0,10.0,15.6,7.8,12.0,,,,32.0
MJ Santner (NZ),2022-2022,5.0,5.0,120.0,20.0,,129.0,9.0,14.33,6.45,13.33,,,31.0,
M Theekshana (SL),2022-2022,8.0,8.0,181.0,30.1,,202.0,9.0,22.44,6.69,20.11,,,15.0,
R Ngarava (ZIM),2022-2022,8.0,8.0,168.0,28.0,1,197.0,9.0,21.88,7.03,18.66,,,18.0,
MA Wood (ENG),2022-2022,4.0,4.0,84.0,14.0,,108.0,9.0,12.0,7.71,9.33,,,26.0,
FJ Klaassen (NED),2022-2022,8.0,8.0,180.0,30.0,,191.0,8.0,23.87,6.36,22.5,,,13.0,
Haris Rauf (PAK),2022-2022,7.0,7.0,156.0,26.0,1,178.0,8.0,22.25,6.84,19.5,,,23.0,
Taskin Ahmed (BAN),2022-2022,5.0,5.0,108.0,18.0,1,131.0,8.0,16.37,7.27,13.5,1.0,,25.0,
Mohammad Wasim (PAK),2022-2022,6.0,6.0,102.0,17.0,,124.0,8.0,15.5,7.29,12.75,1.0,,24.0,
TA Boult (NZ),2022-2022,5.0,5.0,120.0,20.0,,148.0,8.0,18.5,7.4,15.0,1.0,,13.0,
HH Pandya (IND),2022-2022,6.0,6.0,108.0,18.0,,146.0,8.0,18.25,8.11,13.5,,,30.0,
TG Southee (NZ),2022-2022,5.0,5.0,104.0,17.2,1,114.0,7.0,16.28,6.57,14.85,,,6.0,
BD Glover (NED),2022-2022,3.0,3.0,53.0,8.5,1,60.0,7.0,8.57,6.79,7.57,,,9.0,
CBRLS Kumara (SL),2022-2022,6.0,6.0,121.0,20.1,,153.0,7.0,21.85,7.58,17.28,,,24.0,
LH Ferguson (NZ),2022-2022,5.0,5.0,114.0,19.0,,159.0,7.0,22.71,8.36,16.28,,,22.0,
L Ngidi (SA),2022-2022,4.0,4.0,78.0,13.0,,116.0,7.0,16.57,8.92,11.14,1.0,,29.0,
